Accession,Gene ID,Description,Taxonomy,Protein FDR Confidence: Combined,Missing values,Log10(S/N),# Unique Peptides,Log2(WT/Mock),p_WT/Mock,q_WT/Mock,Log2(ΔVif/Mock),p_ΔVif/Mock,q_ΔVif/Mock,Log2(WT/ΔVif),p_WT/ΔVif,q_WT/ΔVif,A_Mock,B_Mock,C_Mock,A_WT,B_WT,C_WT,A_ΔVif,B_ΔVif,C_ΔVif
NL433,Gag,Gag polyprotein,HIV-AFMACS,High,0,4.2259757223656,6,5.77918840104823,1.75674159395635E-07,8.27830211770675E-05,5.82745987842422,1.59820607328491E-07,0.000100401588675,-0.065865316060412,0.866889604580008,0.999925600286854,33,103.2,36,2578.1,2829.8,2683,2679.8,3465.5,2417.4
NL435,Gagpol,Gagpol polyprotein,HIV-AFMACS,High,0,4.80227553984789,38,3.59101109561659,7.90295248471451E-09,1.52519335239887E-05,3.54857285259078,8.73505916156819E-09,1.56492418111701E-05,0.042253260425269,0.803125372777034,0.999925600286854,771.6,1048,755.5,9591.5,12241.6,9101.7,9960,11121.5,8835.8
NL431,Nef-P2A,Protein Nef-P2A,HIV-AFMACS,High,0,4.71543337586907,11,4.74634040383194,1.52977454305123E-09,8.49411194065225E-06,4.81691830643663,1.35283247108549E-09,6.58545735579214E-06,-0.069329946369964,0.708771098430427,0.999925600286854,239.1,414.1,295.5,8745.3,7743.8,8378.5,9384.2,7955.8,8775.5
NL434,Rev,Protein Rev,HIV-AFMACS,High,0,3.23874843928124,6,3.37920554468986,5.5593506908252E-07,0.000195577957303,3.4737619189128,4.41966029298907E-07,0.000185099582271,-0.094853790162434,0.719602198134434,0.999925600286854,25.3,38.2,17.1,263.5,307,229.7,265,268.5,318.5
NL432,SBP-dLNGFR,mSP-SBP-dLNGFR,HIV-AFMACS,High,0,4.10029470930153,8,5.15915627402836,1.08634453217674E-08,1.52519335239887E-05,5.29920766541324,8.76896572307071E-09,1.56492418111701E-05,-0.132706851674375,0.602832103560698,0.999925600286854,41.8,79.3,48.7,2062.1,1831.6,1980.1,2531.1,1620.5,2402.6
NL436,Tat,Protein Tat,HIV-AFMACS,High,1,2.71382642438052,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3,1.3,78.2,77.8,107.8,80.5,94.5,76
NL439,Vif,Virion infectivity factor,HIV-AFMACS,High,0,2.47304880508854,2,1.56127252663283,0.001902130521027,0.033796440267544,-0.44197696009545,0.245367082762284,0.502796713162695,2.00509088101331,0.00036928432175,0.16239278048952,18.8,23.5,19.1,44.6,56.7,86,22,18,8.5
P01737,1SV=1,T-cell receptor alpha chain V region PY14,Homo sapiens,High,0,3.04665121697092,2,0.068705615662933,0.621206634807397,0.82893526826446,-0.150011641173933,0.297463661788058,0.551795159457688,0.21876413592624,0.140937336667749,0.999925600286854,108.7,145.4,124,114.9,129.7,151.9,110.9,107,120.9
O00370,1SV=1,LINE-1 retrotransposable element ORF2 protein,Homo sapiens,Medium,0,2.53970323894783,1,0.116718805729025,0.318408158118891,0.604315871958491,0.30073270970446,0.024698746454423,0.138272103797997,-0.182479916659051,0.133217652554671,0.999925600286854,40.8,31.4,32.7,38.6,38.9,35.6,40,43.4,45.1
P04436,2SV=1,T-cell receptor alpha chain V region HPB-MLT (Fragment),Homo sapiens,High,0,2.60519726738838,2,0.188421033357607,0.600585049508818,0.816910842936909,0.240671664297907,0.509284786388586,0.729267290180335,-0.051852164786174,0.888054949206462,0.999925600286854,42.5,51.8,26.8,53.5,64.2,25.5,42.5,52.4,43.7
